0       0       0x0980321C      0xFFFFFFFF       0x00008720     0
0       0       0x0980361C      0xFFFFFFFF       0x00008720     0
0       0       0x0980421C      0xFFFFFFFF       0x00008B2C     0
0       0       0x09804A1C      0xFFFFFFFF       0x00008B2C     0
0       0       0x098003CC      0xFFFFFFFF       0x00002000     0
0       0       0x098007CC      0xFFFFFFFF       0x00002000     0
0       0       0x09800BCC      0xFFFFFFFF       0x00002000     0
0       0       0x09800FCC      0xFFFFFFFF       0x00002000     0
0       0       0x098013CC      0xFFFFFFFF       0x00002000     0
0       0       0x098017CC      0xFFFFFFFF       0x00002000     0
0       0       0x098023CC      0xFFFFFFFF       0x00002000     0
0       0       0x098027CC      0xFFFFFFFF       0x00002000     0
0       0       0x098033CC      0xFFFFFFFF       0x00002000     0
0       0       0x098037CC      0xFFFFFFFF       0x00002000     0
0       0       0x098043CC      0xFFFFFFFF       0x00002000     0
0       0       0x09804BCC      0xFFFFFFFF       0x00002000     0
0       0       0x0980022C      0xFFFFFFFF       0x00000000     0
0       0       0x0980062C      0xFFFFFFFF       0x00000000     0
0       0       0x09800A2C      0xFFFFFFFF       0x00000000     0
0       0       0x09800E2C      0xFFFFFFFF       0x00000000     0
0       0       0x0980122C      0xFFFFFFFF       0x00000000     0
0       0       0x0980162C      0xFFFFFFFF       0x00000000     0
0       0       0x0980222C      0xFFFFFFFF       0x00000000     0
0       0       0x0980262C      0xFFFFFFFF       0x00000000     0
0       0       0x0980322C      0xFFFFFFFF       0x00000000     0
0       0       0x0980362C      0xFFFFFFFF       0x00000000     0
0       0       0x0980422C      0xFFFFFFFF       0x00000000     0
0       0       0x09804A2C      0xFFFFFFFF       0x00000000     0
0       0       0x09800230      0xFFFFFFFF       0x00000000     0
0       0       0x09800630      0xFFFFFFFF       0x00000000     0
0       0       0x09800A30      0xFFFFFFFF       0x00000000     0
0       0       0x09800E30      0xFFFFFFFF       0x00000000     0
0       0       0x09801230      0xFFFFFFFF       0x00000000     0
0       0       0x09801630      0xFFFFFFFF       0x00000000     0
0       0       0x09802230      0xFFFFFFFF       0x00000000     0
0       0       0x09802630      0xFFFFFFFF       0x00000000     0
